name,title,category,origin,originName,apiVersion,isDynamic,blockJson,hasRenderPhp,hasIndexPhp,hasViewJs,sourceRoot
core/post-date,Date,theme,core,,3,False,wp-includes/blocks/post-date/block.json,False,False,False,core
core/post-excerpt,Excerpt,theme,core,,3,False,wp-includes/blocks/post-excerpt/block.json,False,False,False,core
core/post-featured-image,Featured Image,theme,core,,3,False,wp-includes/blocks/post-featured-image/block.json,False,False,False,core
core/post-navigation-link,Post Navigation Link,theme,core,,3,False,wp-includes/blocks/post-navigation-link/block.json,False,False,False,core
core/post-template,Post Template,theme,core,,3,False,wp-includes/blocks/post-template/block.json,False,False,False,core
core/post-terms,Post Terms,theme,core,,3,False,wp-includes/blocks/post-terms/block.json,False,False,False,core
core/post-time-to-read,Time to Read,theme,core,,3,False,wp-includes/blocks/post-time-to-read/block.json,False,False,False,core
core/post-title,Title,theme,core,,3,False,wp-includes/blocks/post-title/block.json,False,False,False,core
core/preformatted,Preformatted,text,core,,3,False,wp-includes/blocks/preformatted/block.json,False,False,False,core
core/pullquote,Pullquote,text,core,,3,False,wp-includes/blocks/pullquote/block.json,False,False,False,core
core/query,Query Loop,theme,core,,3,False,wp-includes/blocks/query/block.json,False,False,True,core
core/query-no-results,No Results,theme,core,,3,False,wp-includes/blocks/query-no-results/block.json,False,False,False,core
core/query-pagination,Pagination,theme,core,,3,False,wp-includes/blocks/query-pagination/block.json,False,False,False,core
core/query-pagination-next,Next Page,theme,core,,3,False,wp-includes/blocks/query-pagination-next/block.json,False,False,False,core
core/query-pagination-numbers,Page Numbers,theme,core,,3,False,wp-includes/blocks/query-pagination-numbers/block.json,False,False,False,core
core/query-pagination-previous,Previous Page,theme,core,,3,False,wp-includes/blocks/query-pagination-previous/block.json,False,False,False,core
core/query-title,Query Title,theme,core,,3,False,wp-includes/blocks/query-title/block.json,False,False,False,core
core/query-total,Query Total,theme,core,,3,False,wp-includes/blocks/query-total/block.json,False,False,False,core
core/quote,Quote,text,core,,3,False,wp-includes/blocks/quote/block.json,False,False,False,core
core/read-more,Read More,theme,core,,3,False,wp-includes/blocks/read-more/block.json,False,False,False,core
core/rss,RSS,widgets,core,,3,False,wp-includes/blocks/rss/block.json,False,False,False,core
core/search,Search,widgets,core,,3,False,wp-includes/blocks/search/block.json,False,False,True,core
core/separator,Separator,design,core,,3,False,wp-includes/blocks/separator/block.json,False,False,False,core
core/shortcode,Shortcode,widgets,core,,3,False,wp-includes/blocks/shortcode/block.json,False,False,False,core
core/site-logo,Site Logo,theme,core,,3,False,wp-includes/blocks/site-logo/block.json,False,False,False,core
core/site-tagline,Site Tagline,theme,core,,3,False,wp-includes/blocks/site-tagline/block.json,False,False,False,core
core/site-title,Site Title,theme,core,,3,False,wp-includes/blocks/site-title/block.json,False,False,False,core
core/social-link,Social Icon,widgets,core,,3,False,wp-includes/blocks/social-link/block.json,False,False,False,core
core/social-links,Social Icons,widgets,core,,3,False,wp-includes/blocks/social-links/block.json,False,False,False,core
core/spacer,Spacer,design,core,,3,False,wp-includes/blocks/spacer/block.json,False,False,False,core
core/table,Table,text,core,,3,False,wp-includes/blocks/table/block.json,False,False,False,core
core/tag-cloud,Tag Cloud,widgets,core,,3,False,wp-includes/blocks/tag-cloud/block.json,False,False,False,core
core/template-part,Template Part,theme,core,,3,False,wp-includes/blocks/template-part/block.json,False,False,False,core
core/term-count,Term Count,theme,core,,3,False,wp-includes/blocks/term-count/block.json,False,False,False,core
core/term-description,Term Description,theme,core,,3,False,wp-includes/blocks/term-description/block.json,False,False,False,core
core/term-name,Term Name,theme,core,,3,False,wp-includes/blocks/term-name/block.json,False,False,False,core
core/term-template,Term Template,theme,core,,3,False,wp-includes/blocks/term-template/block.json,False,False,False,core
core/terms-query,Terms Query,theme,core,,3,False,wp-includes/blocks/terms-query/block.json,False,False,False,core
core/text-columns,Text Columns (deprecated),design,core,,3,False,wp-includes/blocks/text-columns/block.json,False,False,False,core
core/verse,Verse,text,core,,3,False,wp-includes/blocks/verse/block.json,False,False,False,core
core/video,Video,media,core,,3,False,wp-includes/blocks/video/block.json,False,False,False,core
core/widget-group,Widget Group,widgets,core,,3,False,wp-includes/blocks/widget-group/block.json,False,False,False,core
